"Borough","rent_per_month_1bed","rent_per_month_2bed","rent_per_month_3bed","rent_per_month_4bed","green_space","travel_bank","safety","school_density","pub_number","well_being_score","restaurant_number"
"Barking and Dagenham",674.45027124774,844.314647377939,1191.9801084991,1365.78481012658,0.499010207085139,0.105922938079991,0.70079082549855,0,0,0.518063028439661,0
"Barnet",1306.26833976834,1701.53474903475,2160.96042471042,3403.07722007722,0.0633140863250222,0.103728460265288,0.797317515084172,0.522751192504619,0.148148148148148,0.069177555726365,0.190283400809717
"Bexley",707.548076923077,890.778846153846,1170.78021978022,1425.35164835165,0.328525722721271,0.0223513458152147,0.869836020301433,0.085908729622121,0.185185185185185,0.712528823981552,0.0607287449392713
"Brent",1209.03618817853,1547.54402895054,1813.53799758745,2556.50180940893,0.0712886029353678,0.251573798086502,0.685160473907715,0.20843056648762,0.123456790123457,0.186779400461184,0.125506072874494
"Bromley",968.817647058824,1253.74411764706,1538.65196078431,2137.05392156863,0.29948632415105,0.0689539828559389,0.832039846167052,0.553355135486503,0.185185185185185,0.679443906025464,0.133603238866397
"Camden",1663.12950600801,2192.32042723632,3023.87716955941,4006.64619492657,0.523799833912871,0.594816193095859,0.563624527016186,0.731630328488317,0.530864197530864,0.424167644322181,0.45748987854251
"City of London",1676.90322580645,2096.96774193548,2957.74193548387,3389.51612903226,0.767674078502803,1,1,0.732272080677992,0.345679012345679,0.560338201383551,0.210526315789474
"Croydon",885.530035335689,1106.91784452297,1383.75530035336,1881.76943462898,0,0.168012613362073,0.741136061164978,0.0159899456527616,0.160493827160494,0.395972328977709,0.137651821862348
"Ealing",1297.0690376569,1591.84518828452,1980.94874476987,2825.21129707113,0.453988218682874,0.178939301066125,0.734520921659125,0.403413969218366,0.185185185185185,0.833013066871637,0.125506072874494
"Enfield",1020.84309392265,1308.78232044199,1593.25193370166,1972.23977900552,0.410884952546313,0.103223616280458,0.755210934558811,0.0825992743826514,0.111111111111111,0,0.0931174089068826
"Greenwich",971.923362175525,1205.26328800989,1349.88380716934,1670.98516687268,0.712294409322146,0.173695975981804,0.752135717252799,0.518980604042142,0.135802469135802,0.670253651037663,0.0890688259109312
"Hackney",1347.04939919893,1672.32443257677,2143.74499332443,2694.06408544726,1,0.469739839908491,0.584008222295545,0.240311727989342,0.382716049382716,0.210299769408147,0.202429149797571
"Hammersmith and Fulham",1524.4032,1981.6816,2794.2528,4547.2864,0.1268777845964,0.435394024930941,0.635360859047639,0.552692875749078,0.209876543209877,0.694624044852376,0.190283400809717
"Haringey",1322.9561752988,1628.13545816733,1955.6374501992,3052.03187250996,0.725566084671548,0.318276095922723,0.655738425156718,0.166369481435423,0.123456790123457,0.217909300538047,0.11336032388664
"Harrow",997.274143302181,1293.76323987539,1550.3691588785,1886.74299065421,0.295732543339696,0.0785919717589053,0.842048457123712,0.490135414223617,0.0617283950617284,0.152190622598001,0.0931174089068826
"Havering",752.423076923077,940.5649867374,1182.39124668435,1545.72015915119,0.288952386383686,0.0233195037456019,0.838098457062109,0.304458778599409,0.0987654320987654,0.664468627371658,0.0769230769230769
"Hillingdon",951.766793409379,1231.6742712294,1455.63751584284,1847.57034220532,0.148825694447236,0,0.678390710328097,0.213726686493251,0.160493827160494,0.322126792099723,0.105263157894737
"Hounslow",1188.57282913165,1426.27871148459,1782.87535014006,2614.81932773109,0.359663830596013,0.123504514505726,0.710322554720098,0.544510430109727,0.148148148148148,0.328428681234215,0.0931174089068826
"Islington",1646.86226685796,2059.41893830703,2543.55093256815,3390.98708751793,0.66093576264317,0.612350410375146,0.529280754356809,0.334445647572483,0.45679012345679,0.372338020527196,0.271255060728745
"Kensington and Chelsea",2410.98573692552,3431.91125198098,5955.42155309033,10209.3423137876,0.781251404714544,0.662334878878958,0.62885631615733,1,0.246913580246914,0.712528823981552,0.295546558704453
"Kingston upon Thames",1154.27,1479.836,1835.004,2604.536,0.0031225015729975,0.103740151814109,0.807210050338905,0.639508031685479,0.111111111111111,0.255956956187548,0.0688259109311741
